artists,id,name,popularity,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,analysis_url,duration_ms,time_signature
Raphael,4O7Bwkmqn3vPHcofn1dGOH,Hablemos del amor,17,spotify:track:4O7Bwkmqn3vPHcofn1dGOH,0.3,0.622,1,-4.848,1,0.042,0.785,0.00874,0.12,0.474,88.421,audio_features,https://api.spotify.com/v1/audio-analysis/4O7Bwkmqn3vPHcofn1dGOH,171667,3
Raphael,1N65qdgI5B9QXFfJTcrNK8,Yo soy aquél,21,spotify:track:1N65qdgI5B9QXFfJTcrNK8,0.402,0.427,2,-11.328,0,0.0359,0.795,0.0,0.222,0.551,111.065,audio_features,https://api.spotify.com/v1/audio-analysis/1N65qdgI5B9QXFfJTcrNK8,159560,3
Conchita Bautista,75SVvfd82WnWyiSsfIlFxT,"Que Bueno, Que Bueno",3,spotify:track:75SVvfd82WnWyiSsfIlFxT,0.262,0.702,5,-5.762,0,0.0589,0.79,0.0,0.33,0.796,152.215,audio_features,https://api.spotify.com/v1/audio-analysis/75SVvfd82WnWyiSsfIlFxT,149426,4
Los TNT,4pTGS44sUrO2aX8rAq0SZc,Caracola - Remastered,20,spotify:track:4pTGS44sUrO2aX8rAq0SZc,0.228,0.318,8,-11.527,1,0.037,0.973,0.73,0.229,0.431,199.237,audio_features,https://api.spotify.com/v1/audio-analysis/4pTGS44sUrO2aX8rAq0SZc,158277,1
José Guardiola,1KNF0c1G59yKakj5bDdQZr,Algo prodigioso,2,spotify:track:1KNF0c1G59yKakj5bDdQZr,0.17,0.473,7,-7.257,0,0.0314,0.301,6.9e-05,0.3,0.37,89.868,audio_features,https://api.spotify.com/v1/audio-analysis/1KNF0c1G59yKakj5bDdQZr,197773,3
Victor Balaguer,5NIOZIbuLhFO1PQNv3pHhl,Llamame,19,spotify:track:5NIOZIbuLhFO1PQNv3pHhl,0.366,0.754,10,-5.563,1,0.117,0.705,0.0,0.929,0.53,133.801,audio_features,https://api.spotify.com/v1/audio-analysis/5NIOZIbuLhFO1PQNv3pHhl,195188,3
Conchita Bautista,6kZbhR81G2MF9gwUNcbGVF,Estando Contigo,9,spotify:track:6kZbhR81G2MF9gwUNcbGVF,0.574,0.876,5,-5.381,1,0.0494,0.747,0.0,0.389,0.906,91.817,audio_features,https://api.spotify.com/v1/audio-analysis/6kZbhR81G2MF9gwUNcbGVF,201718,4
Tusse,5zxZ7M4RgWZUHlMEwac8vt,Voices,78,spotify:track:5zxZ7M4RgWZUHlMEwac8vt,0.503,0.759,10,-5.222,0,0.0423,0.00237,1.06e-06,0.13,0.396,90.015,audio_features,https://api.spotify.com/v1/audio-analysis/5zxZ7M4RgWZUHlMEwac8vt,184000,4
The Mamas,19LiotxKSVs7FeVMEdHz63,Move,57,spotify:track:19LiotxKSVs7FeVMEdHz63,0.465,0.784,9,-2.661,1,0.051,0.101,0.0,0.213,0.566,102.782,audio_features,https://api.spotify.com/v1/audio-analysis/19LiotxKSVs7FeVMEdHz63,168255,4
John Lundvik,6Jf8Y84YSdqeJfEPDJFEZu,Too Late For Love,0,spotify:track:6Jf8Y84YSdqeJfEPDJFEZu,0.401,0.746,0,-4.155,1,0.0734,0.197,0.0,0.0657,0.417,104.252,audio_features,https://api.spotify.com/v1/audio-analysis/6Jf8Y84YSdqeJfEPDJFEZu,178133,4
Benjamin Ingrosso,0s3P5PImfDZYWIseR3b39D,Dance You Off,49,spotify:track:0s3P5PImfDZYWIseR3b39D,0.73,0.692,8,-5.432,1,0.0695,0.104,5.42e-06,0.106,0.76,109.08,audio_features,https://api.spotify.com/v1/audio-analysis/0s3P5PImfDZYWIseR3b39D,182134,4
Robin Bengtsson,57Y51hxqMn2j3dosW75R6n,I Can´t Go On,0,spotify:track:57Y51hxqMn2j3dosW75R6n,0.733,0.672,4,-5.047,0,0.0427,0.0308,0.0,0.163,0.463,109.007,audio_features,https://api.spotify.com/v1/audio-analysis/57Y51hxqMn2j3dosW75R6n,183991,4
Frans,6oDkCmfVcSd9NXAKk1b4Ll,If I Were Sorry,57,spotify:track:6oDkCmfVcSd9NXAKk1b4Ll,0.735,0.612,5,-6.774,1,0.0517,0.289,4.12e-05,0.103,0.395,105.056,audio_features,https://api.spotify.com/v1/audio-analysis/6oDkCmfVcSd9NXAKk1b4Ll,184060,4
Måns Zelmerlöw,4ciaNqHWA2IzHphZaVRzHI,Heroes,65,spotify:track:4ciaNqHWA2IzHphZaVRzHI,0.484,0.791,7,-4.27,1,0.0437,0.0743,0.0,0.0491,0.369,124.008,audio_features,https://api.spotify.com/v1/audio-analysis/4ciaNqHWA2IzHphZaVRzHI,190613,4
Sanna Nielsen,3XhlY1x0LcIyHpZJB1g6WS,Undo,53,spotify:track:3XhlY1x0LcIyHpZJB1g6WS,0.58,0.493,6,-3.53,1,0.0383,0.399,0.0,0.0829,0.256,121.904,audio_features,https://api.spotify.com/v1/audio-analysis/3XhlY1x0LcIyHpZJB1g6WS,187653,4
Robin Stjernberg,30nf9FXigeYnKcD8u4Yo7r,You,45,spotify:track:30nf9FXigeYnKcD8u4Yo7r,0.615,0.672,6,-7.587,1,0.0429,0.158,0.0,0.126,0.534,125.953,audio_features,https://api.spotify.com/v1/audio-analysis/30nf9FXigeYnKcD8u4Yo7r,183067,4
Loreen,1xN7BpTAWnZkuSLOtRP6Qc,Euphoria - Single Version,63,spotify:track:1xN7BpTAWnZkuSLOtRP6Qc,0.562,0.783,11,-4.727,0,0.0428,0.135,1.44e-05,0.282,0.391,132.06,audio_features,https://api.spotify.com/v1/audio-analysis/1xN7BpTAWnZkuSLOtRP6Qc,181787,4
Eric Saade,64WR5TPXZZ2wsWYA3enKfK,Popular,52,spotify:track:64WR5TPXZZ2wsWYA3enKfK,0.535,0.963,9,-4.654,1,0.0966,0.000547,0.0,0.0525,0.489,125.019,audio_features,https://api.spotify.com/v1/audio-analysis/64WR5TPXZZ2wsWYA3enKfK,180813,4
Anna Bergendahl,5Hdi8Nr6VtgSCHdG7VXcX5,This Is My Life,46,spotify:track:5Hdi8Nr6VtgSCHdG7VXcX5,0.543,0.597,0,-4.941,0,0.0291,0.448,0.0,0.28,0.452,83.01,audio_features,https://api.spotify.com/v1/audio-analysis/5Hdi8Nr6VtgSCHdG7VXcX5,181240,4
Malena Ernman,59ijvxrVTUaqebX7DDvjJt,La Voix,0,spotify:track:59ijvxrVTUaqebX7DDvjJt,0.519,0.645,10,-3.633,1,0.0375,0.349,1.67e-05,0.155,0.447,128.05,audio_features,https://api.spotify.com/v1/audio-analysis/59ijvxrVTUaqebX7DDvjJt,178307,4
Charlotte Perrelli,16mDAAOMz7wLZP0SeLVZhZ,Hero,14,spotify:track:16mDAAOMz7wLZP0SeLVZhZ,0.624,0.892,8,-4.295,0,0.036,0.00225,0.0,0.0825,0.917,126.985,audio_features,https://api.spotify.com/v1/audio-analysis/16mDAAOMz7wLZP0SeLVZhZ,174960,4
The Ark,1V8qf5Q3EWodc6n2T2GlBb,The Worrying Kind,27,spotify:track:1V8qf5Q3EWodc6n2T2GlBb,0.638,0.853,1,-3.839,0,0.0308,0.0151,0.0,0.0843,0.823,133.997,audio_features,https://api.spotify.com/v1/audio-analysis/1V8qf5Q3EWodc6n2T2GlBb,175773,4
